;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Count Wise Summary of Monthly Production Review Februari-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;;
;20;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;21;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;22;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;23;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;24;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;25;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;26;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;27;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;28;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;29;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;30;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;Total / Avg. OE;;;;9,31;;;;;;5,13;15,64;59773;25080;58150;164855,25;363439,88;908,60;1260;1134;47,4481357924622;96,45;77,29;100,49;72,13%;93,78%;0;12;29;152;0;314;19610;78,19%;0,00 ;(7,99);(24,64);(143,46);(98,30);(261,98);0,00;;;
;Total / Avg. RS;RING;;;11,33;;;;;;4,19;14,09;9372;62304;20705;58698,68;129407,10;323,52;443;399;24,204584755753;13,65;11,08;14,48;73,05%;95,48%;0;33;13;51;0;318;48526;77,89%;0,00 ;(6,69);(6,03);(114,35);(69,14);(98,71);0,00;;;
;Grand Total / Avg.;;;;9,84;;;;;;4,63;14,54;23838;87384;78855;223553,93;492846,98;1232,12;1703;1533;72;37,42;30,08;39,16;72,37%;94,22%;0;27;18;80;0;317;68135;77,97%;0,00 ;(14,68);(30,67);(257,81);(167,44);(360,69);0,00;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-470,60;;;;;;;
